,patent_no,url,title,issue_date,date,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
38,4268522,https://www.google.com/patents/US4268522,"13,14-Dihydro-15-alkenyl- and 13,14-dihydro-15-alkynyl prostaglandins and analogs thereof",5/19/81,19-May-81,2,1,0,21,17,0
39,4268523,https://www.google.com/patents/US4268523,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",5/19/81,19-May-81,5,2,1,3,70,0
40,4268692,https://www.google.com/patents/US4268692,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",5/19/81,19-May-81,5,2,1,0,67,0
41,4269837,https://www.google.com/patents/US4269837,"Hypoglycemic guanylamidines, compositions and use",5/26/81,26-May-81,2,0,3,4,134,0
42,4270005,https://www.google.com/patents/US4270005,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",5/26/81,26-May-81,5,4,2,5,67,0
43,4273775,https://www.google.com/patents/US4273775,"Hydantoin derivatives, anti-diabetic compositions thereof, and method of use thereof",6/16/81,16-Jun-81,1,1,1,3,6,0
44,4273782,https://www.google.com/patents/US4273782,Inhibition of thromboxane synthetase by 3-(1-Imidazolylalkyl) indoles,6/16/81,16-Jun-81,2,7,2,64,48,0
45,4276183,https://www.google.com/patents/US4276183,Cobalt modified magnetic iron oxide,6/30/81,30-Jun-81,1,6,0,10,16,3
46,4276219,https://www.google.com/patents/US4276219,"5-Keto-L-ascorbic acid-5,5-dimethyl ketal, derivatives thereof and its use as an antioxidant and intermediate",6/30/81,30-Jun-81,1,2,2,2,7,0
47,4276285,https://www.google.com/patents/US4276285,"Combinations of penicillanic acid 1,1-dioxide with 7-(D-2-[4-ethylpiperazin-2,3-dione-1-carboxamido]-2-[4-hydroxyphenyl]acetamido)-3-([1-methyl-5-tetrazolyl]thiomethyl)-3-desacetoxymethylcephalosporanic acid",6/30/81,30-Jun-81,1,3,5,6,15,0
48,4276297,https://www.google.com/patents/US4276297,Pyridylaminotriazole therapeutic agents,6/30/81,30-Jun-81,1,7,6,2,17,0
49,4277403,https://www.google.com/patents/US4277403,Prostaglandin intermediates,7/7/81,7-Jul-81,1,6,0,0,13,0
50,4277404,https://www.google.com/patents/US4277404,5-(4-Fluorophenyl)tetrahydro-2-furanol,7/7/81,7-Jul-81,2,1,1,0,20,0
51,4279910,https://www.google.com/patents/US4279910,Quinazoline therapeutic agents,7/21/81,21-Jul-81,1,5,0,0,28,0
52,4281004,https://www.google.com/patents/US4281004,Phenylguanidine therapeutic agents,7/28/81,28-Jul-81,1,2,0,10,30,0
53,4282229,https://www.google.com/patents/US4282229,Hydantoin derivatives as therapeutic agents,8/4/81,4-Aug-81,1,1,0,5,21,0
54,4282242,https://www.google.com/patents/US4282242,Antidiabetic pyrrolecarboxylic acids,8/4/81,4-Aug-81,1,1,0,11,30,0
55,4282246,https://www.google.com/patents/US4282246,Antidiabetic furancarboxylic and thiphenecarboxylic acids,8/4/81,4-Aug-81,1,1,24,17,13,0
56,4282321,https://www.google.com/patents/US4282321,Fermentation process for production of xanthan,8/4/81,4-Aug-81,1,5,7,5,6,2
57,4283340,https://www.google.com/patents/US4283340,Ascorbic acid intermediates,8/11/81,11-Aug-81,1,9,12,3,13,0
58,4283409,https://www.google.com/patents/US4283409,Imidazolone derivatives,8/11/81,11-Aug-81,2,1,2,3,23,0
59,4283417,https://www.google.com/patents/US4283417,"Bronchodialation with 13,14-dihydro-15-alkenyl prostaglandins",8/11/81,11-Aug-81,2,1,1,1,10,0
60,4283527,https://www.google.com/patents/US4283527,"Erythromycylamine 11,12-carbonate and derivatives thereof",8/11/81,11-Aug-81,1,2,2,5,8,0
61,4283539,https://www.google.com/patents/US4283539,Isoquinoline acetic acids,8/11/81,11-Aug-81,1,1,1,13,17,0
62,4283569,https://www.google.com/patents/US4283569,Hydroxyalkyl and oxoalkyl substituted phenols as analgesics and sedatives,8/11/81,11-Aug-81,5,2,0,7,77,0
63,4284829,https://www.google.com/patents/US4284829,Hydroxyalkyl and oxoalkyl substituted phenols as analgesics and sedatives,8/18/81,18-Aug-81,5,4,0,5,49,0
64,4285867,https://www.google.com/patents/US4285867,"Pharmacologically active 4-[2-hydroxy-4-(substituted)phenyl]naphthalen-2(1H)-ones and 2-ols, derivatives thereof and intermediates therefor",8/25/81,25-Aug-81,3,5,0,3,90,0
65,4286098,https://www.google.com/patents/US4286098,Process for the preparation of chiral hydantoins,8/25/81,25-Aug-81,1,3,5,14,19,0
66,4287181,https://www.google.com/patents/US4287181,Derivatives of 6כ_-hydroxyalkylpenicillanic acids as כ_-lactamase inhibitors,9/1/81,1-Sep-81,1,4,3,32,19,0
67,4287182,https://www.google.com/patents/US4287182,"Antibiotics produced by a new microbe, Catenuloplanes japonicus",9/1/81,1-Sep-81,6,1,0,0,5,0
68,4287341,https://www.google.com/patents/US4287341,"Alkoxy-substituted-6-chloro-quinazoline-2,4-diones",9/1/81,1-Sep-81,3,9,1,42,51,0
69,4287425,https://www.google.com/patents/US4287425,Construction of a CT scanner using heavy ions or protons,9/1/81,1-Sep-81,2,3,0,67,12,0
70,4288543,https://www.google.com/patents/US4288543,Method and apparatus for identifying microorganisms,9/8/81,8-Sep-81,7,9,8,35,10,1
71,4289702,https://www.google.com/patents/US4289702,Preparation of erythorbic acid and ascorbis acid 6-fatty acid esters,9/15/81,15-Sep-81,2,2,2,5,4,1
72,4289704,https://www.google.com/patents/US4289704,Preparation of gamma-pyrones,9/15/81,15-Sep-81,4,2,2,3,7,1
73,4289772,https://www.google.com/patents/US4289772,1-Piperidinophthalazines as cardiac stimulants,9/15/81,15-Sep-81,4,2,0,36,34,0
74,4289879,https://www.google.com/patents/US4289879,Synthetic method and intermediate for piroxicam,9/15/81,15-Sep-81,1,3,0,8,11,2
75,4291060,https://www.google.com/patents/US4291060,Compounds derived from formylphenoxyacetic acid as antiviral agents in animals,9/22/81,22-Sep-81,1,5,0,4,9,0
76,4292444,https://www.google.com/patents/US4292444,Sulfonyl prostaglandin carboxamide derivatives,9/29/81,29-Sep-81,2,2,0,2,4,0
77,4296120,https://www.google.com/patents/US4296120,(Carboxy-oxo-pyrrolidino)phenylalkenamides and esters thereof as SRS-A antagonists,10/20/81,20-Oct-81,1,1,0,9,13,0
78,4296129,https://www.google.com/patents/US4296129,(Carboxyacylamino)phenylalkenamides and esters thereof as SRS-A antagonists,10/20/81,20-Oct-81,1,3,0,13,25,0
79,4296203,https://www.google.com/patents/US4296203,Xanthomonas bipolymer for use in displacement of oil from partially depleted reservoirs,10/20/81,20-Oct-81,1,5,2,26,24,3
80,4299820,https://www.google.com/patents/US4299820,Therapeutic process employing amides of L and DL phenylglycines,11/10/81,10-Nov-81,3,13,4,0,13,0
81,4301998,https://www.google.com/patents/US4301998,Vertical gunning apparatus with television monitor,11/24/81,24-Nov-81,1,7,0,24,16,2
82,4302464,https://www.google.com/patents/US4302464,Imidazolylpyridine therapeutic agents,11/24/81,24-Nov-81,2,0,4,9,24,0
83,4303643,https://www.google.com/patents/US4303643,Sulfonamide compositions,12/1/81,1-Dec-81,1,3,0,7,10,1
84,4303659,https://www.google.com/patents/US4303659,Schistosomicidal compositions,12/1/81,1-Dec-81,2,0,0,2,8,0
85,4305752,https://www.google.com/patents/US4305752,Metallic iron particles for magnetic recording,12/15/81,15-Dec-81,1,12,0,6,22,4
86,4305877,https://www.google.com/patents/US4305877,Novel spiro-oxazolidindiones,12/15/81,15-Dec-81,1,2,0,0,15,0
87,4305949,https://www.google.com/patents/US4305949,Amide therapeutic agents,12/15/81,15-Dec-81,2,3,2,3,38,0
88,4305955,https://www.google.com/patents/US4305955,Carboxylic acid therapeutic agents,12/15/81,15-Dec-81,1,1,2,4,34,0
89,4306097,https://www.google.com/patents/US4306097,3-[2-Hydroxy-4-(substituted)phenyl]-cycloalkanol analgesic agents,12/15/81,15-Dec-81,4,5,2,20,61,0
90,4307106,https://www.google.com/patents/US4307106,Aminothiazoles,12/22/81,22-Dec-81,1,2,4,10,19,0
91,4307108,https://www.google.com/patents/US4307108,Method for lowering sorbitol levels using spiro-imides,12/22/81,22-Dec-81,2,6,1,20,28,0
92,4309222,https://www.google.com/patents/US4309222,Kaolin clay slurries of reduced viscosity,1/5/82,5-Jan-82,1,4,0,30,15,1
93,4309347,https://www.google.com/patents/US4309347,"Penicillanoyloxymethyl penicillanate 1,1,1',1'-tetraoxide",1/5/82,5-Jan-82,1,2,0,10,12,0
94,4309427,https://www.google.com/patents/US4309427,Benzothiazine dioxide derivatives,1/5/82,5-Jan-82,1,3,1,23,8,3
95,4309545,https://www.google.com/patents/US4309545,Oximino-1-hydroxyoctahydrobenzo[c]quinolines and derivatives thereof,1/5/82,5-Jan-82,1,4,7,16,33,0
96,4310529,https://www.google.com/patents/US4310529,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1/12/82,12-Jan-82,5,2,1,0,86,3
97,4310550,https://www.google.com/patents/US4310550,Lipid amines formulated with fat or lipid emulsions as vaccine adjuvants,1/12/82,12-Jan-82,4,4,5,14,24,0
98,4310668,https://www.google.com/patents/US4310668,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1/12/82,12-Jan-82,5,2,1,0,61,3
99,4310669,https://www.google.com/patents/US4310669,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1/12/82,12-Jan-82,5,2,0,1,58,3
100,4312877,https://www.google.com/patents/US4312877,"1-(2-Hydroxy-3-n-alkoxypropyl)-4-substituted piperidines, pharmaceutical compositions, thereof and use thereof",1/26/82,26-Jan-82,1,10,0,1,23,0
101,4316010,https://www.google.com/patents/US4316010,"Cis-C3 ""C4 ""-carbonate derivatives of O-demethyloleandomycin and intermediates therefor",2/16/82,16-Feb-82,1,2,1,2,10,6
102,4316960,https://www.google.com/patents/US4316960,"Preparation of 2,5-diketogluconic acid",2/23/82,23-Feb-82,2,3,2,5,7,0
103,D263172,https://www.google.com/patents/USD263172,Pharmaceutical tablet,2/23/82,23-Feb-82,1,0,0,1,4,0
104,4320124,https://www.google.com/patents/US4320124,Composition for enhancing binding of a benzodiazepine to central benzodiazepine receptors and use thereof,3/16/82,16-Mar-82,1,1,1,10,5,0
105,4321196,https://www.google.com/patents/US4321196,"Bis-esters of methanediol with acetonides of ampicillin or amoxicillin and penicillanic acid 1,1-dioxide",3/23/82,23-Mar-82,1,4,2,0,6,4
106,4321372,https://www.google.com/patents/US4321372,"Antiulcer thiazol-2-ylcarbamoyl-carboxylic acids, esters and amides",3/23/82,23-Mar-82,1,6,1,7,18,0
107,4321391,https://www.google.com/patents/US4321391,Preparation of L-aspartic acid N-thiocarboxyanhydride,3/23/82,23-Mar-82,1,2,3,0,7,1
108,4322557,https://www.google.com/patents/US4322557,1-Aryloxy-2-(S)-hydroxy-3-(triarylphosphonio)-propane derivatives as prostaglandin intermediates,3/30/82,30-Mar-82,1,3,6,3,16,6
109,4323499,https://www.google.com/patents/US4323499,"6-(2-Aryl-2-(1,1-dioxopenicillanoyloxy-methoxycarbonyl)acetamido penicillanic acids",4/6/82,6-Apr-82,1,9,0,1,11,4
110,4323506,https://www.google.com/patents/US4323506,Preparation of gamma-pyrones,4/6/82,6-Apr-82,4,0,3,2,8,1
111,4329429,https://www.google.com/patents/US4329429,Lactase preparation,5/11/82,11-May-82,1,5,1,5,13,1
112,4329495,https://www.google.com/patents/US4329495,Enkephalinase enzyme inhibiting compounds,5/11/82,11-May-82,1,1,1,16,23,4
113,4331159,https://www.google.com/patents/US4331159,Electrocardiographic storage system using a rotating film drum,5/25/82,25-May-82,2,11,0,3,8,1
114,4331599,https://www.google.com/patents/US4331599,"Sparingly water-soluble salts of penicillanic acid 1,1-dioxide",5/25/82,25-May-82,3,4,1,0,12,4
115,4331602,https://www.google.com/patents/US4331602,"Pharmacologically active 4-[2-hydroxy-4-(substituted]phenyl)naphthalen-2(1H)-ones and 2-ols, derivatives thereof and intermediates therefor",5/25/82,25-May-82,3,5,1,0,43,3
116,4331683,https://www.google.com/patents/US4331683,Carboxamide compounds as SRS-A antagonists,5/25/82,25-May-82,1,1,0,0,12,4
117,4332942,https://www.google.com/patents/US4332942,3-(2-Hydroxy-4-(substituted)phenyl)azacycloalkanes as analgesics,6/1/82,1-Jun-82,5,4,3,1,28,0
118,4332952,https://www.google.com/patents/US4332952,"Hypoglycemic 5-substituted oxazolidine-2,4-diones",6/1/82,1-Jun-82,1,4,3,26,30,4
119,4333932,https://www.google.com/patents/US4333932,Organic diamine therapeutic compositions and methods,6/8/82,8-Jun-82,1,12,0,0,47,0
120,4336265,https://www.google.com/patents/US4336265,Method of increasing feed efficiency in swine,6/22/82,22-Jun-82,1,5,1,0,9,0
121,4336368,https://www.google.com/patents/US4336368,4 Deoxy-4-methylene oleandomycin and derivatives thereof,6/22/82,22-Jun-82,1,3,0,0,14,5
122,4337250,https://www.google.com/patents/US4337250,Hexahydro-trans- and tetrahydropyridoindole neuroleptic agents,6/29/82,29-Jun-82,2,7,0,7,32,3
123,4337350,https://www.google.com/patents/US4337350,"Reduction of 2,5-diketogluconic acid",6/29/82,29-Jun-82,1,2,5,0,9,0
124,4339583,https://www.google.com/patents/US4339583,(Imidazolylmethyl)pyridine compounds as thromboxane synthetase inhibitors,7/13/82,13-Jul-82,2,4,0,7,19,0
125,4340678,https://www.google.com/patents/US4340678,Xanthomonas biopolymer for use in displacement of oil from partially depleted reservoirs,7/20/82,20-Jul-82,1,5,0,4,20,7
126,4340737,https://www.google.com/patents/US4340737,9-Hydroxyoctahydrobenzo[C]quinolines and intermediates therefor,7/20/82,20-Jul-82,1,7,0,9,26,1
127,4340763,https://www.google.com/patents/US4340763,Winning bitter substances from hops,7/20/82,20-Jul-82,1,3,3,9,7,6
128,4341220,https://www.google.com/patents/US4341220,Stereotactic surgery apparatus and method,7/27/82,27-Jul-82,1,14,0,315,7,5
129,4341792,https://www.google.com/patents/US4341792,"Heterobicyclic keto- and amino-acids, esters and amides",7/27/82,27-Jul-82,2,3,3,1,28,7
130,4341906,https://www.google.com/patents/US4341906,"1,9-Dihydroxyoctahydrophenanthrenes",7/27/82,27-Jul-82,5,6,0,2,60,3
131,4341956,https://www.google.com/patents/US4341956,Apparatus and method for compensating the dark current photoelectric transducers,7/27/82,27-Jul-82,1,16,0,27,8,3
132,4342695,https://www.google.com/patents/US4342695,"5-Keto-L-ascorbic acid-5,5-dimethyl ketal, derivatives thereof and its use as an antioxidant and intermediate",8/3/82,3-Aug-82,1,1,1,0,7,5
133,4342697,https://www.google.com/patents/US4342697,Preparation of gamma-pyrones,8/3/82,3-Aug-82,2,5,4,8,17,1
134,4342768,https://www.google.com/patents/US4342768,"Bis-esters of 1,1-alkanediols with 6-beta-hydroxymethylpenicillanic acid 1,1-dioxide and beta-lactam antibiotics",8/3/82,3-Aug-82,1,1,0,10,18,6
135,4342771,https://www.google.com/patents/US4342771,"Hypoglycemic 5-substituted oxazolidine-2,4-diones",8/3/82,3-Aug-82,1,4,3,35,84,7
136,4342781,https://www.google.com/patents/US4342781,Diphenylpropenamides as SRS-A antagonists,8/3/82,3-Aug-82,1,4,0,1,7,4
137,4342868,https://www.google.com/patents/US4342868,"2-Descarboxy-2-(tetrazol-5-yl)-16,16-dimethyl-17-(2-furyl)-לה-trisnorprostaglandin E2",8/3/82,3-Aug-82,3,1,0,0,19,5
138,4343813,https://www.google.com/patents/US4343813,Carboxamide compounds as SRS-A antagonists,8/10/82,10-Aug-82,1,1,0,0,8,4
139,4348264,https://www.google.com/patents/US4348264,Photocatalyzed process for producing carbapenams and carbapen-2-ems,9/7/82,7-Sep-82,1,3,5,5,10,4
140,4348526,https://www.google.com/patents/US4348526,Intermediates in the preparation of chiral hydantoins,9/7/82,7-Sep-82,1,1,0,10,8,6
141,4350696,https://www.google.com/patents/US4350696,"Imidazole derivatives, process for their preparation and pharmaceutical compositions thereof",9/21/82,21-Sep-82,2,3,0,28,28,4
142,4351833,https://www.google.com/patents/US4351833,9-Amino-1-hydroxyoctahydrobenzo[c]quinolines and derivatives thereof as analgesics and anti-emetics,9/28/82,28-Sep-82,1,4,6,9,25,5
143,4351840,https://www.google.com/patents/US4351840,"Antibacterial esters of resorcinol with ampicillin and penicillanic acid 1,1-dioxide derivatives",9/28/82,28-Sep-82,1,2,0,4,18,6
144,4351843,https://www.google.com/patents/US4351843,Antidiabetic pyrrolecarboxylic acids,9/28/82,28-Sep-82,1,1,2,3,22,5
145,4351845,https://www.google.com/patents/US4351845,Method of increasing feed efficiency in swine,9/28/82,28-Sep-82,1,2,1,0,8,6
146,4351940,https://www.google.com/patents/US4351940,Chloro- and alkoxy-substituted-2-chloro-4-aminodquinazolines,9/28/82,28-Sep-82,3,8,1,7,37,5
147,4352741,https://www.google.com/patents/US4352741,Xanthomonas biopolymer for use in displacement of oil from partially depleted reservoirs,10/5/82,5-Oct-82,1,5,0,15,14,7
148,4352807,https://www.google.com/patents/US4352807,Hexahydro-trans-pyridoindole neuroleptic agents,10/5/82,5-Oct-82,2,5,0,1,6,0
149,4356122,https://www.google.com/patents/US4356122,6-Perhaloalkylsulfonyloxy-penicillanic acids and derivatives thereof,10/26/82,26-Oct-82,1,3,2,0,12,0
150,4356174,https://www.google.com/patents/US4356174,"Beta-lactamase inhibiting 2-beta-substituted-2-alpha-methyl-(5R)penam-3-alpha-carboxylic acid 1,1-dioxides and intermediates therefor",10/26/82,26-Oct-82,1,6,1,14,21,4
151,4357332,https://www.google.com/patents/US4357332,Substituted piperazines having immune regulant activity,11/2/82,2-Nov-82,2,6,1,1,12,0
152,4359416,https://www.google.com/patents/US4359416,Process for preparing L-carnosine,11/16/82,16-Nov-82,1,1,1,12,4,6
153,4359472,https://www.google.com/patents/US4359472,Bis-hydroxymethyl carbonate bridged antibacterial agents,11/16/82,16-Nov-82,1,7,0,4,32,6
154,4360463,https://www.google.com/patents/US4360463,"Pure 6,6-diiodopenicillanic acid and process for its preparation",11/23/82,23-Nov-82,1,0,3,2,8,6
155,4360700,https://www.google.com/patents/US4360700,"Intermediates for making 1-(3-benzyloxyphenyl)-1,1-dimethylheptane",11/23/82,23-Nov-82,2,2,3,5,30,7
156,4361513,https://www.google.com/patents/US4361513,Esters of penicillanic acid sulfone,11/30/82,30-Nov-82,2,4,2,2,12,0
157,4361649,https://www.google.com/patents/US4361649,Polycyclic ether antibiotic,11/30/82,30-Nov-82,4,5,15,4,20,5
158,4363421,https://www.google.com/patents/US4363421,Security seal for containers,12/14/82,14-Dec-82,1,2,0,6,9,6
159,4363803,https://www.google.com/patents/US4363803,"3"",4""-Oxyallylene erythromycin and oleandomycin, composition and method of use",12/14/82,14-Dec-82,1,6,2,3,9,4
160,4363912,https://www.google.com/patents/US4363912,Indole thromboxane synthetase inhibitors,12/14/82,14-Dec-82,2,1,2,36,11,4
161,4364957,https://www.google.com/patents/US4364957,Bis-esters of alkanediols as antibacterial agents,12/21/82,21-Dec-82,1,3,0,5,14,4
162,4365077,https://www.google.com/patents/US4365077,11-Desoxy-16-aryloxy-לה-tetranorprostaglandins,12/21/82,21-Dec-82,4,1,1,0,23,0
163,4366134,https://www.google.com/patents/US4366134,Flue gas desulfurization process,12/28/82,28-Dec-82,2,6,8,13,7,0
164,4366575,https://www.google.com/patents/US4366575,Method and apparatus for controlling x-ray tube emissions,12/28/82,28-Dec-82,1,3,0,14,12,3
165,4367207,https://www.google.com/patents/US4367207,Process for the preparation of finely divided precipitated calcium carbonate,1/4/83,4-Jan-83,1,7,7,38,8,4
166,4367211,https://www.google.com/patents/US4367211,Plasma arc process for the reduction of sulfur dioxide to sulfur,1/4/83,4-Jan-83,1,3,1,5,6,6
167,4367234,https://www.google.com/patents/US4367234,"Hypoglycemic 5-substituted oxazolidine-2,4-diones",1/4/83,4-Jan-83,1,4,7,38,54,5
168,4368330,https://www.google.com/patents/US4368330,Derivatives of L-ascorbic acid and D-erythorbic acid,1/11/83,11-Jan-83,1,2,2,11,9,5
169,4368331,https://www.google.com/patents/US4368331,"3,4-Dihalo-tetrahydrophyran-5-one useful as intermediates for the preparation of gamma-pyrones",1/11/83,11-Jan-83,4,3,10,0,8,1
170,4370328,https://www.google.com/patents/US4370328,Cardiac stimulant 1-(3- or 4-substituted piperidino)phthalazines,1/25/83,25-Jan-83,4,2,0,31,35,1
171,4371696,https://www.google.com/patents/US4371696,Certain pyridine methylthio acetaldehyde derivatives and non-cyclic and cyclic acetals thereof,2/1/83,1-Feb-83,2,2,0,0,24,6
172,4371720,https://www.google.com/patents/US4371720,2-Hydroxy-4-(substituted) phenyl cycloalkanes and derivatives,2/1/83,1-Feb-83,3,3,7,33,87,5
173,4373970,https://www.google.com/patents/US4373970,Copper base spinodal alloy strip and process for its preparation,2/15/83,15-Feb-83,2,3,0,27,20,8
174,4374148,https://www.google.com/patents/US4374148,Carboxylic acid therapeutic agents,2/15/83,15-Feb-83,1,1,2,2,33,5
175,4374826,https://www.google.com/patents/US4374826,Sulfonamide compositions,2/22/83,22-Feb-83,1,3,0,4,11,5
176,4374843,https://www.google.com/patents/US4374843,2-Guanidino-4-heteroarylthiazoles,2/22/83,22-Feb-83,2,6,0,10,36,6
177,4375430,https://www.google.com/patents/US4375430,"Processes for preparation, isolation and purification of dipeptide sweeteners",3/1/83,1-Mar-83,1,1,2,5,11,7
178,4375434,https://www.google.com/patents/US4375434,"Process for 6'-amino-penicillanoyloxymethyl penicillanate 1,1-dioxide",3/1/83,1-Mar-83,1,1,2,3,17,4
179,4376076,https://www.google.com/patents/US4376076,"Bis-esters of 1,1-alkanediols with 6-beta-hydroxymethylpenicillanic acid 1,1-dioxide",3/8/83,8-Mar-83,1,2,0,1,8,5
180,4376204,https://www.google.com/patents/US4376204,3-Hydroxy 2-methyl benzisothiazolines as intermediates in production of piroxicam,3/8/83,8-Mar-83,1,6,0,3,16,5
181,4377521,https://www.google.com/patents/US4377521,Sulfamylbenzoic acids,3/22/83,22-Mar-83,1,2,0,5,19,0
182,4377524,https://www.google.com/patents/US4377524,"Bis-esters of methanediol with penicillins and penicillanic acid 1,1-dioxide",3/22/83,22-Mar-83,1,5,0,1,7,1
