,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le,yearly_sales
46,4276219,https://www.google.com/patents/US4276219,"5-Keto-L-ascorbic acid-5,5-dimethyl ketal, derivatives thereof and its use as an antioxidant and intermediate",1981-06-30,"Jun 30, 1981",477.0,1.0,2,2,2,7,0,3250.0
47,4276285,https://www.google.com/patents/US4276285,"Combinations of penicillanic acid 1,1-dioxide with 7-(D-2-[4-ethylpiperazin-2,3-dione-1-carboxamido]-2-[4-hydroxyphenyl]acetamido)-3-([1-methyl-5-tetrazolyl]thiomethyl)-3-desacetoxymethylcephalosporanic acid",1981-06-30,"Jun 30, 1981",478.0,1.0,3,5,6,15,0,3250.0
48,4276297,https://www.google.com/patents/US4276297,Pyridylaminotriazole therapeutic agents,1981-06-30,"Jun 30, 1981",479.0,1.0,7,6,2,17,0,3250.0
49,4277403,https://www.google.com/patents/US4277403,Prostaglandin intermediates,1981-07-07,"Jul 7, 1981",480.0,1.0,6,0,0,13,0,3250.0
50,4277404,https://www.google.com/patents/US4277404,5-(4-Fluorophenyl)tetrahydro-2-furanol,1981-07-07,"Jul 7, 1981",481.0,2.0,1,1,0,20,0,3250.0
51,4279910,https://www.google.com/patents/US4279910,Quinazoline therapeutic agents,1981-07-21,"Jul 21, 1981",482.0,1.0,5,0,0,28,0,3250.0
52,4281004,https://www.google.com/patents/US4281004,Phenylguanidine therapeutic agents,1981-07-28,"Jul 28, 1981",483.0,1.0,2,0,10,30,0,3250.0
53,4282229,https://www.google.com/patents/US4282229,Hydantoin derivatives as therapeutic agents,1981-08-04,"Aug 4, 1981",484.0,1.0,1,0,5,21,0,3250.0
54,4282242,https://www.google.com/patents/US4282242,Antidiabetic pyrrolecarboxylic acids,1981-08-04,"Aug 4, 1981",485.0,1.0,1,0,11,30,0,3250.0
55,4282246,https://www.google.com/patents/US4282246,Antidiabetic furancarboxylic and thiphenecarboxylic acids,1981-08-04,"Aug 4, 1981",486.0,1.0,1,24,17,13,0,3250.0
56,4282321,https://www.google.com/patents/US4282321,Fermentation process for production of xanthan,1981-08-04,"Aug 4, 1981",487.0,1.0,5,7,5,6,2,3250.0
57,4283340,https://www.google.com/patents/US4283340,Ascorbic acid intermediates,1981-08-11,"Aug 11, 1981",488.0,1.0,9,12,3,13,0,3250.0
58,4283409,https://www.google.com/patents/US4283409,Imidazolone derivatives,1981-08-11,"Aug 11, 1981",489.0,2.0,1,2,3,23,0,3250.0
59,4283417,https://www.google.com/patents/US4283417,"Bronchodialation with 13,14-dihydro-15-alkenyl prostaglandins",1981-08-11,"Aug 11, 1981",490.0,2.0,1,1,1,10,0,3250.0
60,4283527,https://www.google.com/patents/US4283527,"Erythromycylamine 11,12-carbonate and derivatives thereof",1981-08-11,"Aug 11, 1981",491.0,1.0,2,2,5,8,0,3250.0
61,4283539,https://www.google.com/patents/US4283539,Isoquinoline acetic acids,1981-08-11,"Aug 11, 1981",492.0,1.0,1,1,13,17,0,3250.0
62,4283569,https://www.google.com/patents/US4283569,Hydroxyalkyl and oxoalkyl substituted phenols as analgesics and sedatives,1981-08-11,"Aug 11, 1981",493.0,5.0,2,0,7,77,0,3250.0
63,4284829,https://www.google.com/patents/US4284829,Hydroxyalkyl and oxoalkyl substituted phenols as analgesics and sedatives,1981-08-18,"Aug 18, 1981",494.0,5.0,4,0,5,49,0,3250.0
64,4285867,https://www.google.com/patents/US4285867,"Pharmacologically active 4-[2-hydroxy-4-(substituted)phenyl]naphthalen-2(1H)-ones and 2-ols, derivatives thereof and intermediates therefor",1981-08-25,"Aug 25, 1981",495.0,3.0,5,0,3,90,0,3250.0
65,4286098,https://www.google.com/patents/US4286098,Process for the preparation of chiral hydantoins,1981-08-25,"Aug 25, 1981",496.0,1.0,3,5,14,19,0,3250.0
66,4287181,https://www.google.com/patents/US4287181,Derivatives of 6β-hydroxyalkylpenicillanic acids as β-lactamase inhibitors,1981-09-01,"Sep 1, 1981",497.0,1.0,4,3,32,19,0,3250.0
67,4287182,https://www.google.com/patents/US4287182,"Antibiotics produced by a new microbe, Catenuloplanes japonicus",1981-09-01,"Sep 1, 1981",498.0,6.0,1,0,0,5,0,3250.0
68,4287341,https://www.google.com/patents/US4287341,"Alkoxy-substituted-6-chloro-quinazoline-2,4-diones",1981-09-01,"Sep 1, 1981",499.0,3.0,9,1,42,51,0,3250.0
69,4287425,https://www.google.com/patents/US4287425,Construction of a CT scanner using heavy ions or protons,1981-09-01,"Sep 1, 1981",500.0,2.0,3,0,67,12,0,3250.0
70,4288543,https://www.google.com/patents/US4288543,Method and apparatus for identifying microorganisms,1981-09-08,"Sep 8, 1981",501.0,7.0,9,8,35,10,1,3250.0
71,4289702,https://www.google.com/patents/US4289702,Preparation of erythorbic acid and ascorbis acid 6-fatty acid esters,1981-09-15,"Sep 15, 1981",502.0,2.0,2,2,5,4,1,3250.0
72,4289704,https://www.google.com/patents/US4289704,Preparation of gamma-pyrones,1981-09-15,"Sep 15, 1981",503.0,4.0,2,2,3,7,1,3250.0
73,4289772,https://www.google.com/patents/US4289772,1-Piperidinophthalazines as cardiac stimulants,1981-09-15,"Sep 15, 1981",504.0,4.0,2,0,36,34,0,3250.0
74,4289879,https://www.google.com/patents/US4289879,Synthetic method and intermediate for piroxicam,1981-09-15,"Sep 15, 1981",505.0,1.0,3,0,8,11,2,3250.0
75,4291060,https://www.google.com/patents/US4291060,Compounds derived from formylphenoxyacetic acid as antiviral agents in animals,1981-09-22,"Sep 22, 1981",506.0,1.0,5,0,4,9,0,3250.0
76,4292444,https://www.google.com/patents/US4292444,Sulfonyl prostaglandin carboxamide derivatives,1981-09-29,"Sep 29, 1981",507.0,2.0,2,0,2,4,0,3250.0
77,4296120,https://www.google.com/patents/US4296120,(Carboxy-oxo-pyrrolidino)phenylalkenamides and esters thereof as SRS-A antagonists,1981-10-20,"Oct 20, 1981",508.0,1.0,1,0,9,13,0,3250.0
78,4296129,https://www.google.com/patents/US4296129,(Carboxyacylamino)phenylalkenamides and esters thereof as SRS-A antagonists,1981-10-20,"Oct 20, 1981",509.0,1.0,3,0,13,25,0,3250.0
79,4296203,https://www.google.com/patents/US4296203,Xanthomonas bipolymer for use in displacement of oil from partially depleted reservoirs,1981-10-20,"Oct 20, 1981",510.0,1.0,5,2,26,24,3,3250.0
80,4299820,https://www.google.com/patents/US4299820,Therapeutic process employing amides of L and DL phenylglycines,1981-11-10,"Nov 10, 1981",511.0,3.0,13,4,0,13,0,3250.0
81,4301998,https://www.google.com/patents/US4301998,Vertical gunning apparatus with television monitor,1981-11-24,"Nov 24, 1981",512.0,1.0,7,0,24,16,2,3250.0
82,4302464,https://www.google.com/patents/US4302464,Imidazolylpyridine therapeutic agents,1981-11-24,"Nov 24, 1981",513.0,2.0,0,4,9,24,0,3250.0
83,4303643,https://www.google.com/patents/US4303643,Sulfonamide compositions,1981-12-01,"Dec 1, 1981",514.0,1.0,3,0,7,10,1,3250.0
84,4303659,https://www.google.com/patents/US4303659,Schistosomicidal compositions,1981-12-01,"Dec 1, 1981",515.0,2.0,0,0,2,8,0,3250.0
85,4305752,https://www.google.com/patents/US4305752,Metallic iron particles for magnetic recording,1981-12-15,"Dec 15, 1981",516.0,1.0,12,0,6,22,4,3250.0
86,4305877,https://www.google.com/patents/US4305877,Novel spiro-oxazolidindiones,1981-12-15,"Dec 15, 1981",517.0,1.0,2,0,0,15,0,3250.0
87,4305949,https://www.google.com/patents/US4305949,Amide therapeutic agents,1981-12-15,"Dec 15, 1981",518.0,2.0,3,2,3,38,0,3250.0
88,4305955,https://www.google.com/patents/US4305955,Carboxylic acid therapeutic agents,1981-12-15,"Dec 15, 1981",519.0,1.0,1,2,4,34,0,3250.0
89,4306097,https://www.google.com/patents/US4306097,3-[2-Hydroxy-4-(substituted)phenyl]-cycloalkanol analgesic agents,1981-12-15,"Dec 15, 1981",520.0,4.0,5,2,20,61,0,3250.0
90,4307106,https://www.google.com/patents/US4307106,Aminothiazoles,1981-12-22,"Dec 22, 1981",521.0,1.0,2,4,10,19,0,3250.0
91,4307108,https://www.google.com/patents/US4307108,Method for lowering sorbitol levels using spiro-imides,1981-12-22,"Dec 22, 1981",522.0,2.0,6,1,20,28,0,3250.0
92,4309222,https://www.google.com/patents/US4309222,Kaolin clay slurries of reduced viscosity,1982-01-05,"Jan 5, 1982",523.0,1.0,4,0,30,15,1,3454.0
93,4309347,https://www.google.com/patents/US4309347,"Penicillanoyloxymethyl penicillanate 1,1,1',1'-tetraoxide",1982-01-05,"Jan 5, 1982",524.0,1.0,2,0,10,12,0,3454.0
94,4309427,https://www.google.com/patents/US4309427,Benzothiazine dioxide derivatives,1982-01-05,"Jan 5, 1982",525.0,1.0,3,1,23,8,3,3454.0
95,4309545,https://www.google.com/patents/US4309545,Oximino-1-hydroxyoctahydrobenzo[c]quinolines and derivatives thereof,1982-01-05,"Jan 5, 1982",526.0,1.0,4,7,16,33,0,3454.0
96,4310529,https://www.google.com/patents/US4310529,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1982-01-12,"Jan 12, 1982",527.0,5.0,2,1,0,86,3,3454.0
97,4310550,https://www.google.com/patents/US4310550,Lipid amines formulated with fat or lipid emulsions as vaccine adjuvants,1982-01-12,"Jan 12, 1982",528.0,4.0,4,5,14,24,0,3454.0
98,4310668,https://www.google.com/patents/US4310668,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1982-01-12,"Jan 12, 1982",529.0,5.0,2,1,0,61,3,3454.0
99,4310669,https://www.google.com/patents/US4310669,"Intermediates to 1,9-dihydroxyoctahydrophenanthrenes",1982-01-12,"Jan 12, 1982",530.0,5.0,2,0,1,58,3,3454.0
100,4312877,https://www.google.com/patents/US4312877,"1-(2-Hydroxy-3-n-alkoxypropyl)-4-substituted piperidines, pharmaceutical compositions, thereof and use thereof",1982-01-26,"Jan 26, 1982",531.0,1.0,10,0,1,23,0,3454.0
101,4316010,https://www.google.com/patents/US4316010,"Cis-C3 ""C4 ""-carbonate derivatives of O-demethyloleandomycin and intermediates therefor",1982-02-16,"Feb 16, 1982",532.0,1.0,2,1,2,10,6,3454.0
102,4316960,https://www.google.com/patents/US4316960,"Preparation of 2,5-diketogluconic acid",1982-02-23,"Feb 23, 1982",533.0,2.0,3,2,5,7,0,3454.0
103,D263172,https://www.google.com/patents/USD263172,Pharmaceutical tablet,1982-02-23,"Feb 23, 1982",534.0,1.0,0,0,1,4,0,3454.0
104,4320124,https://www.google.com/patents/US4320124,Composition for enhancing binding of a benzodiazepine to central benzodiazepine receptors and use thereof,1982-03-16,"Mar 16, 1982",535.0,1.0,1,1,10,5,0,3454.0
105,4321196,https://www.google.com/patents/US4321196,"Bis-esters of methanediol with acetonides of ampicillin or amoxicillin and penicillanic acid 1,1-dioxide",1982-03-23,"Mar 23, 1982",536.0,1.0,4,2,0,6,4,3454.0
106,4321372,https://www.google.com/patents/US4321372,"Antiulcer thiazol-2-ylcarbamoyl-carboxylic acids, esters and amides",1982-03-23,"Mar 23, 1982",537.0,1.0,6,1,7,18,0,3454.0
107,4321391,https://www.google.com/patents/US4321391,Preparation of L-aspartic acid N-thiocarboxyanhydride,1982-03-23,"Mar 23, 1982",538.0,1.0,2,3,0,7,1,3454.0
108,4322557,https://www.google.com/patents/US4322557,1-Aryloxy-2-(S)-hydroxy-3-(triarylphosphonio)-propane derivatives as prostaglandin intermediates,1982-03-30,"Mar 30, 1982",539.0,1.0,3,6,3,16,6,3454.0
109,4323499,https://www.google.com/patents/US4323499,"6-(2-Aryl-2-(1,1-dioxopenicillanoyloxy-methoxycarbonyl)acetamido penicillanic acids",1982-04-06,"Apr 6, 1982",540.0,1.0,9,0,1,11,4,3454.0
110,4323506,https://www.google.com/patents/US4323506,Preparation of gamma-pyrones,1982-04-06,"Apr 6, 1982",541.0,4.0,0,3,2,8,1,3454.0
111,4329429,https://www.google.com/patents/US4329429,Lactase preparation,1982-05-11,"May 11, 1982",542.0,1.0,5,1,5,13,1,3454.0
112,4329495,https://www.google.com/patents/US4329495,Enkephalinase enzyme inhibiting compounds,1982-05-11,"May 11, 1982",543.0,1.0,1,1,16,23,4,3454.0
113,4331159,https://www.google.com/patents/US4331159,Electrocardiographic storage system using a rotating film drum,1982-05-25,"May 25, 1982",544.0,2.0,11,0,3,8,1,3454.0
114,4331599,https://www.google.com/patents/US4331599,"Sparingly water-soluble salts of penicillanic acid 1,1-dioxide",1982-05-25,"May 25, 1982",545.0,3.0,4,1,0,12,4,3454.0
115,4331602,https://www.google.com/patents/US4331602,"Pharmacologically active 4-[2-hydroxy-4-(substituted]phenyl)naphthalen-2(1H)-ones and 2-ols, derivatives thereof and intermediates therefor",1982-05-25,"May 25, 1982",546.0,3.0,5,1,0,43,3,3454.0
116,4331683,https://www.google.com/patents/US4331683,Carboxamide compounds as SRS-A antagonists,1982-05-25,"May 25, 1982",547.0,1.0,1,0,0,12,4,3454.0
117,4332942,https://www.google.com/patents/US4332942,3-(2-Hydroxy-4-(substituted)phenyl)azacycloalkanes as analgesics,1982-06-01,"Jun 1, 1982",548.0,5.0,4,3,1,28,0,3454.0
118,4332952,https://www.google.com/patents/US4332952,"Hypoglycemic 5-substituted oxazolidine-2,4-diones",1982-06-01,"Jun 1, 1982",549.0,1.0,4,3,26,30,4,3454.0
119,4333932,https://www.google.com/patents/US4333932,Organic diamine therapeutic compositions and methods,1982-06-08,"Jun 8, 1982",550.0,1.0,12,0,0,47,0,3454.0
120,4336265,https://www.google.com/patents/US4336265,Method of increasing feed efficiency in swine,1982-06-22,"Jun 22, 1982",551.0,1.0,5,1,0,9,0,3454.0
121,4336368,https://www.google.com/patents/US4336368,4 Deoxy-4-methylene oleandomycin and derivatives thereof,1982-06-22,"Jun 22, 1982",552.0,1.0,3,0,0,14,5,3454.0
122,4337250,https://www.google.com/patents/US4337250,Hexahydro-trans- and tetrahydropyridoindole neuroleptic agents,1982-06-29,"Jun 29, 1982",553.0,2.0,7,0,7,32,3,3454.0
123,4337350,https://www.google.com/patents/US4337350,"Reduction of 2,5-diketogluconic acid",1982-06-29,"Jun 29, 1982",554.0,1.0,2,5,0,9,0,3454.0
124,4339583,https://www.google.com/patents/US4339583,(Imidazolylmethyl)pyridine compounds as thromboxane synthetase inhibitors,1982-07-13,"Jul 13, 1982",555.0,2.0,4,0,7,19,0,3454.0
125,4340678,https://www.google.com/patents/US4340678,Xanthomonas biopolymer for use in displacement of oil from partially depleted reservoirs,1982-07-20,"Jul 20, 1982",556.0,1.0,5,0,4,20,7,3454.0
126,4340737,https://www.google.com/patents/US4340737,9-Hydroxyoctahydrobenzo[C]quinolines and intermediates therefor,1982-07-20,"Jul 20, 1982",557.0,1.0,7,0,9,26,1,3454.0
127,4340763,https://www.google.com/patents/US4340763,Winning bitter substances from hops,1982-07-20,"Jul 20, 1982",558.0,1.0,3,3,9,7,6,3454.0
128,4341220,https://www.google.com/patents/US4341220,Stereotactic surgery apparatus and method,1982-07-27,"Jul 27, 1982",559.0,1.0,14,0,315,7,5,3454.0
129,4341792,https://www.google.com/patents/US4341792,"Heterobicyclic keto- and amino-acids, esters and amides",1982-07-27,"Jul 27, 1982",560.0,2.0,3,3,1,28,7,3454.0
130,4341906,https://www.google.com/patents/US4341906,"1,9-Dihydroxyoctahydrophenanthrenes",1982-07-27,"Jul 27, 1982",561.0,5.0,6,0,2,60,3,3454.0
131,4341956,https://www.google.com/patents/US4341956,Apparatus and method for compensating the dark current photoelectric transducers,1982-07-27,"Jul 27, 1982",562.0,1.0,16,0,27,8,3,3454.0
132,4342695,https://www.google.com/patents/US4342695,"5-Keto-L-ascorbic acid-5,5-dimethyl ketal, derivatives thereof and its use as an antioxidant and intermediate",1982-08-03,"Aug 3, 1982",563.0,1.0,1,1,0,7,5,3454.0
133,4342697,https://www.google.com/patents/US4342697,Preparation of gamma-pyrones,1982-08-03,"Aug 3, 1982",564.0,2.0,5,4,8,17,1,3454.0
134,4342768,https://www.google.com/patents/US4342768,"Bis-esters of 1,1-alkanediols with 6-beta-hydroxymethylpenicillanic acid 1,1-dioxide and beta-lactam antibiotics",1982-08-03,"Aug 3, 1982",565.0,1.0,1,0,10,18,6,3454.0
135,4342771,https://www.google.com/patents/US4342771,"Hypoglycemic 5-substituted oxazolidine-2,4-diones",1982-08-03,"Aug 3, 1982",566.0,1.0,4,3,35,84,7,3454.0
136,4342781,https://www.google.com/patents/US4342781,Diphenylpropenamides as SRS-A antagonists,1982-08-03,"Aug 3, 1982",567.0,1.0,4,0,1,7,4,3454.0
137,4342868,https://www.google.com/patents/US4342868,"2-Descarboxy-2-(tetrazol-5-yl)-16,16-dimethyl-17-(2-furyl)-ω-trisnorprostaglandin E2",1982-08-03,"Aug 3, 1982",568.0,3.0,1,0,0,19,5,3454.0
138,4343813,https://www.google.com/patents/US4343813,Carboxamide compounds as SRS-A antagonists,1982-08-10,"Aug 10, 1982",569.0,1.0,1,0,0,8,4,3454.0
139,4348264,https://www.google.com/patents/US4348264,Photocatalyzed process for producing carbapenams and carbapen-2-ems,1982-09-07,"Sep 7, 1982",570.0,1.0,3,5,5,10,4,3454.0
140,4348526,https://www.google.com/patents/US4348526,Intermediates in the preparation of chiral hydantoins,1982-09-07,"Sep 7, 1982",571.0,1.0,1,0,10,8,6,3454.0
141,4350696,https://www.google.com/patents/US4350696,"Imidazole derivatives, process for their preparation and pharmaceutical compositions thereof",1982-09-21,"Sep 21, 1982",572.0,2.0,3,0,28,28,4,3454.0
142,4351833,https://www.google.com/patents/US4351833,9-Amino-1-hydroxyoctahydrobenzo[c]quinolines and derivatives thereof as analgesics and anti-emetics,1982-09-28,"Sep 28, 1982",573.0,1.0,4,6,9,25,5,3454.0
143,4351840,https://www.google.com/patents/US4351840,"Antibacterial esters of resorcinol with ampicillin and penicillanic acid 1,1-dioxide derivatives",1982-09-28,"Sep 28, 1982",574.0,1.0,2,0,4,18,6,3454.0
144,4351843,https://www.google.com/patents/US4351843,Antidiabetic pyrrolecarboxylic acids,1982-09-28,"Sep 28, 1982",575.0,1.0,1,2,3,22,5,3454.0
145,4351845,https://www.google.com/patents/US4351845,Method of increasing feed efficiency in swine,1982-09-28,"Sep 28, 1982",576.0,1.0,2,1,0,8,6,3454.0
146,4351940,https://www.google.com/patents/US4351940,Chloro- and alkoxy-substituted-2-chloro-4-aminodquinazolines,1982-09-28,"Sep 28, 1982",577.0,3.0,8,1,7,37,5,3454.0
147,4352741,https://www.google.com/patents/US4352741,Xanthomonas biopolymer for use in displacement of oil from partially depleted reservoirs,1982-10-05,"Oct 5, 1982",578.0,1.0,5,0,15,14,7,3454.0
148,4352807,https://www.google.com/patents/US4352807,Hexahydro-trans-pyridoindole neuroleptic agents,1982-10-05,"Oct 5, 1982",579.0,2.0,5,0,1,6,0,3454.0
149,4356122,https://www.google.com/patents/US4356122,6-Perhaloalkylsulfonyloxy-penicillanic acids and derivatives thereof,1982-10-26,"Oct 26, 1982",580.0,1.0,3,2,0,12,0,3454.0
150,4356174,https://www.google.com/patents/US4356174,"Beta-lactamase inhibiting 2-beta-substituted-2-alpha-methyl-(5R)penam-3-alpha-carboxylic acid 1,1-dioxides and intermediates therefor",1982-10-26,"Oct 26, 1982",581.0,1.0,6,1,14,21,4,3454.0
151,4357332,https://www.google.com/patents/US4357332,Substituted piperazines having immune regulant activity,1982-11-02,"Nov 2, 1982",582.0,2.0,6,1,1,12,0,3454.0
