,patent_no,url,title,issue_date,date,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
27,4264521,https://www.google.com/patents/US4264521,5-Halo-4-oxo-2-phenylpentanenitriles,4/28/81,28-Apr-81,1,3,1,1,6,0
28,4264575,https://www.google.com/patents/US4264575,Contraceptive methods and compositions,4/28/81,28-Apr-81,4,12,3,28,9,0
29,4264576,https://www.google.com/patents/US4264576,Contraceptive methods and compositions,4/28/81,28-Apr-81,4,12,3,9,11,0
30,4264577,https://www.google.com/patents/US4264577,Contraceptive methods and compositions,4/28/81,28-Apr-81,4,12,3,8,11,0
31,4264578,https://www.google.com/patents/US4264578,Contraceptive methods and compositions,4/28/81,28-Apr-81,3,12,5,2,8,0
32,4264581,https://www.google.com/patents/US4264581,Sunscreen composition,4/28/81,28-Apr-81,2,3,3,31,12,4
33,4264600,https://www.google.com/patents/US4264600,"Treatment of influenza with 2-estersubstituted-3,4-dihydro-3-oxoquinoxalines",4/28/81,28-Apr-81,1,0,8,6,8,0
34,4264605,https://www.google.com/patents/US4264605,1-Benzoyl-3-(aryloxy- or arylthiopyridinyl) urea compounds,4/28/81,28-Apr-81,2,2,0,9,20,0
35,4264622,https://www.google.com/patents/US4264622,Tetrahydro-2H-benzo[c]pyrroles to inhibit prolactin secretion,4/28/81,28-Apr-81,2,0,0,2,7,1
36,4264775,https://www.google.com/patents/US4264775,Synthesis of ‘_-aminostyrenes,4/28/81,28-Apr-81,1,2,5,0,27,0
37,4265808,https://www.google.com/patents/US4265808,Pharmacologically active peptides,5/5/81,5-May-81,2,3,6,12,22,0
38,4265901,https://www.google.com/patents/US4265901,2-Oxybenzimidazoline compounds,5/5/81,5-May-81,1,5,4,7,16,0
39,4266049,https://www.google.com/patents/US4266049,Process for 3-iodomethyl cephalosporins,5/5/81,5-May-81,1,2,9,12,18,0
40,4268502,https://www.google.com/patents/US4268502,Cosmetic tonic formulation,5/19/81,19-May-81,1,3,4,8,14,5
41,4268526,https://www.google.com/patents/US4268526,Cosmetic cream formulation,5/19/81,19-May-81,2,0,2,16,27,5
42,4271162,https://www.google.com/patents/US4271162,Antiviral combinations,6/2/81,2-Jun-81,1,0,1,1,10,0
43,4271166,https://www.google.com/patents/US4271166,"N-(1,3,4-Thiadiazol-2-yl)benzamides",6/2/81,2-Jun-81,1,10,2,4,9,0
44,4271305,https://www.google.com/patents/US4271305,Thiazolinoazetidinones and process therefor,6/2/81,2-Jun-81,3,5,0,2,6,0
45,4272519,https://www.google.com/patents/US4272519,Cosmetic lotion formulation,6/9/81,9-Jun-81,2,3,6,6,21,5
46,4272544,https://www.google.com/patents/US4272544,Skin cell renewal regime,6/9/81,9-Jun-81,5,3,4,45,27,5
47,4273920,https://www.google.com/patents/US4273920,Polymerization process and product,6/16/81,16-Jun-81,1,14,1,141,17,1
48,4275210,https://www.google.com/patents/US4275210,Substituted 2-anilinobenzoxazoles,6/23/81,23-Jun-81,2,2,6,5,4,0
49,4276300,https://www.google.com/patents/US4276300,"Amino-substituted-4,5,6,7-tetrahydro-1H (or 2H)-indazoles",6/30/81,30-Jun-81,2,1,1,1,5,1
50,4277471,https://www.google.com/patents/US4277471,"1,1-Biphenyl-2-yl alkylamines, formulations and antiarrhythmic treatment",7/7/81,7-Jul-81,2,4,2,9,46,1
51,4277495,https://www.google.com/patents/US4277495,Treating cardiac arrhythmias,7/7/81,7-Jul-81,2,2,7,11,48,1
52,4277501,https://www.google.com/patents/US4277501,Para-nitrophenylalkylamines and pharmaceutical compositions,7/7/81,7-Jul-81,2,3,4,14,7,1
53,4277608,https://www.google.com/patents/US4277608,Method of preparing 4a-arylhexahydro-1H-2-pyrindines and 4a-aryloctahydroisoquinolines,7/7/81,7-Jul-81,2,11,2,1,14,0
54,4278570,https://www.google.com/patents/US4278570,Cosmetic cleanser formulation,7/14/81,14-Jul-81,1,3,4,27,38,5
55,4278603,https://www.google.com/patents/US4278603,Novel polymorphic crystalline form of dibenzopyranone,7/14/81,14-Jul-81,1,2,2,38,4,1
56,4278797,https://www.google.com/patents/US4278797,Intermediates to phenylmorphans and method of preparation thereof,7/14/81,14-Jul-81,1,3,3,7,10,1
57,4281003,https://www.google.com/patents/US4281003,1-(2-6-Dihalobenzoyl)-3-(5-substituted-2-pyridinyl)urea insecticides and insecticidal method,7/28/81,28-Jul-81,1,3,2,2,15,1
58,4281116,https://www.google.com/patents/US4281116,3-Halo cephalosporins,7/28/81,28-Jul-81,1,8,0,2,5,0
59,4281117,https://www.google.com/patents/US4281117,Process for 3-chloro cephalosporin nucleus,7/28/81,28-Jul-81,2,4,4,5,7,1
60,4281141,https://www.google.com/patents/US4281141,3-(Imidazol-4-yl)-2-phenylpropanenitriles,7/28/81,28-Jul-81,2,5,3,7,9,1
61,4282030,https://www.google.com/patents/US4282030,Method for plant growth regulation,8/4/81,4-Aug-81,1,3,2,0,14,1
62,4282170,https://www.google.com/patents/US4282170,9-Carbamoyl-9-(2-cyanoethyl)fluorenes,8/4/81,4-Aug-81,3,3,0,12,23,0
63,4282362,https://www.google.com/patents/US4282362,"Octahydro-2H-pyrrolo[3,4-g]quinolines",8/4/81,4-Aug-81,2,3,0,0,11,0
64,4283329,https://www.google.com/patents/US4283329,Pharmacologically active peptides,8/11/81,11-Aug-81,2,2,5,11,17,2
65,4283330,https://www.google.com/patents/US4283330,Pharmacologically active peptides,8/11/81,11-Aug-81,1,3,1,12,18,1
66,4283349,https://www.google.com/patents/US4283349,Novel oxiodinium and thiaiodinium compounds,8/11/81,11-Aug-81,1,1,0,1,5,0
67,4283388,https://www.google.com/patents/US4283388,Method for treating colibacillosis in pigs with tylosin apramycin compositions,8/11/81,11-Aug-81,1,2,5,2,4,1
68,4283390,https://www.google.com/patents/US4283390,Antibiotics and process for production thereof,8/11/81,11-Aug-81,2,1,4,9,10,1
69,4283403,https://www.google.com/patents/US4283403,Substituted isoxazolines for control of plant phytopathogens,8/11/81,11-Aug-81,1,1,3,14,6,1
70,4284635,https://www.google.com/patents/US4284635,"Analgesic 1,2,4,5-tetra-alkyl-4-arylpiperidines",8/18/81,18-Aug-81,1,11,4,10,21,0
71,4287120,https://www.google.com/patents/US4287120,Derivatives of S31794/F-1 nucleus,9/1/81,1-Sep-81,2,12,14,27,16,1
72,4287302,https://www.google.com/patents/US4287302,Microbiological modification of antibiotic A23187 esters,9/1/81,1-Sep-81,2,2,0,0,6,0
73,4288549,https://www.google.com/patents/US4288549,Method of producing the A-30912 antibiotics,9/8/81,8-Sep-81,2,2,0,16,21,0
74,4288624,https://www.google.com/patents/US4288624,Acylation or sulfenylation process,9/8/81,8-Sep-81,2,3,7,2,11,1
75,4289692,https://www.google.com/patents/US4289692,Derivatives of A-30912D nucleus,9/15/81,15-Sep-81,1,11,14,2,14,1
76,4289695,https://www.google.com/patents/US4289695,Process for preparing 2-chlorosulfinylazetidinones,9/15/81,15-Sep-81,1,3,1,15,5,1
77,4289766,https://www.google.com/patents/US4289766,Heterocyclic carbothioamides,9/15/81,15-Sep-81,2,4,3,0,30,1
78,4289773,https://www.google.com/patents/US4289773,Antiviral combinations,9/15/81,15-Sep-81,1,0,0,0,13,0
79,4289778,https://www.google.com/patents/US4289778,2-(Substituted imino)-N-(3-substituted phenyl)-3-thiazolidinecarbothioamides,9/15/81,15-Sep-81,1,0,6,7,33,1
80,4289782,https://www.google.com/patents/US4289782,Antiviral 1-sulfonylbenzimidazoles,9/15/81,15-Sep-81,3,5,0,3,4,0
81,4289787,https://www.google.com/patents/US4289787,Quaternary ammonium antiarrhythmic drugs,9/15/81,15-Sep-81,2,4,3,22,13,1
82,4293482,https://www.google.com/patents/US4293482,A-30912A Nucleus,10/6/81,6-Oct-81,2,12,14,40,12,1
83,4293483,https://www.google.com/patents/US4293483,Derivatives of A-30912A nucleus,10/6/81,6-Oct-81,1,11,14,24,12,1
84,4293484,https://www.google.com/patents/US4293484,Derivatives of A-30912H nucleus,10/6/81,6-Oct-81,1,11,14,5,10,1
85,4293485,https://www.google.com/patents/US4293485,Derivatives of S31794/F-1 nucleus,10/6/81,6-Oct-81,1,12,13,18,13,1
86,4293486,https://www.google.com/patents/US4293486,Derivatives of S31794/F-1 nucleus,10/6/81,6-Oct-81,1,11,14,3,10,1
87,4293487,https://www.google.com/patents/US4293487,Derivatives of A-30912D nucleus,10/6/81,6-Oct-81,1,12,14,9,13,1
88,4293488,https://www.google.com/patents/US4293488,Derivatives of A-30912B nucleus,10/6/81,6-Oct-81,1,12,14,15,13,1
89,4293489,https://www.google.com/patents/US4293489,Derivatives of A-30912A nucleus,10/6/81,6-Oct-81,1,11,14,56,10,2
90,4293490,https://www.google.com/patents/US4293490,A-30912H Nuclei,10/6/81,6-Oct-81,2,12,14,14,13,1
91,4293491,https://www.google.com/patents/US4293491,Derivatives of A-30912H nucleus,10/6/81,6-Oct-81,1,11,14,14,12,1
92,4293493,https://www.google.com/patents/US4293493,Azetidinone alcohol disulfides and process for cyclization,10/6/81,6-Oct-81,2,5,7,2,12,1
93,4293495,https://www.google.com/patents/US4293495,Symmetrical azetidinone aldehyde disulfides and process,10/6/81,6-Oct-81,2,3,5,0,13,1
94,4293539,https://www.google.com/patents/US4293539,Controlled release formulations and method of treatment,10/6/81,6-Oct-81,2,15,0,189,11,1
95,4293552,https://www.google.com/patents/US4293552,Novel 1-(mono-o-substituted benzoyl)-3-(substituted pyrazinyl) ureas,10/6/81,6-Oct-81,1,6,5,29,13,1
96,4293558,https://www.google.com/patents/US4293558,Antiviral thiazolinyl benzimidazoles and derivatives,10/6/81,6-Oct-81,3,2,0,10,18,0
97,4293649,https://www.google.com/patents/US4293649,Process for production of antibiotic A-33853,10/6/81,6-Oct-81,2,0,2,3,10,1
98,4294964,https://www.google.com/patents/US4294964,2-Aryl-1H-perimidines,10/13/81,13-Oct-81,1,1,8,3,14,0
99,4297277,https://www.google.com/patents/US4297277,Derivatives of A-30912B nucleus,10/27/81,27-Oct-81,1,12,14,4,13,1
100,4299614,https://www.google.com/patents/US4299614,"Novel algicidal method utilizing 1,4-diphenyl-3-pyrazolin-5-ones",11/10/81,10-Nov-81,2,4,2,2,7,1
101,4299762,https://www.google.com/patents/US4299762,A-30912D Nucleus,11/10/81,10-Nov-81,2,12,14,9,13,1
102,4299763,https://www.google.com/patents/US4299763,A-30912B Nucleus,11/10/81,10-Nov-81,2,12,14,25,13,1
103,4299953,https://www.google.com/patents/US4299953,Mycarosyltylactone,11/10/81,10-Nov-81,2,9,10,9,23,1
104,4299954,https://www.google.com/patents/US4299954,Cephalosporin vinyl halides,11/10/81,10-Nov-81,1,4,0,3,11,1
105,4301282,https://www.google.com/patents/US4301282,1-Oxa-‘_-lactam antibiotics,11/17/81,17-Nov-81,1,3,1,4,13,1
106,4301313,https://www.google.com/patents/US4301313,Halogenated ethynyl biphenyls,11/17/81,17-Nov-81,2,3,3,4,41,0
107,4302391,https://www.google.com/patents/US4302391,Unsymmetrical azetidinone aldehyde disulfides and process,11/24/81,24-Nov-81,2,4,6,2,12,1
108,4303584,https://www.google.com/patents/US4303584,Method of preparing vincristine,12/1/81,1-Dec-81,1,1,5,5,5,1
109,4303591,https://www.google.com/patents/US4303591,Removal of stannic chloride,12/1/81,1-Dec-81,3,2,2,1,11,1
110,4303647,https://www.google.com/patents/US4303647,Method of treating coccidiosis with antibiotic A-32887K,12/1/81,1-Dec-81,2,0,1,1,12,2
111,4304716,https://www.google.com/patents/US4304716,S 31794/F-1 Nucleus,12/8/81,8-Dec-81,2,12,10,35,17,1
112,4304774,https://www.google.com/patents/US4304774,Bis-tetrazolmethyl substituted ‘_-lactam antibiotics,12/8/81,8-Dec-81,1,3,0,4,11,1
113,4304791,https://www.google.com/patents/US4304791,"Benzenamines, formulations, and fungicidal method",12/8/81,8-Dec-81,2,2,0,14,24,1
114,4304856,https://www.google.com/patents/US4304856,Process for producing 20-dihydro-20-deoxy-23-demycinosyltylosin,12/8/81,8-Dec-81,4,8,10,8,20,1
115,4309258,https://www.google.com/patents/US4309258,Conversion of benzimidazole isomers,1/5/82,5-Jan-82,1,1,3,0,6,1
116,4309343,https://www.google.com/patents/US4309343,Pharmacologically active peptides,1/5/82,5-Jan-82,1,1,5,14,18,1
117,4309431,https://www.google.com/patents/US4309431,Method of inhibiting growth of tumor cells,1/5/82,5-Jan-82,1,0,3,0,4,0
118,4309446,https://www.google.com/patents/US4309446,5-(Dihydroxyphenoxy)tetrazoles and use as sweeteners for medical compositions,1/5/82,5-Jan-82,1,5,0,7,16,1
119,4309504,https://www.google.com/patents/US4309504,Process for preparing narasin,1/5/82,5-Jan-82,2,1,3,5,14,1
120,4309506,https://www.google.com/patents/US4309506,Fermentation system and failure-detection probe holder,1/5/82,5-Jan-82,1,2,6,3,5,0
121,4311710,https://www.google.com/patents/US4311710,Anticoccidial formulation and method,1/19/82,19-Jan-82,3,0,0,5,32,1
122,4311837,https://www.google.com/patents/US4311837,Certain heterocyclic thiomethyl derivatives of 7-(dihalogenated phenylthioacetamido)cephalosporanic acids useful in the treatment of infections caused by _Streptococcus faecalis,1/19/82,19-Jan-82,1,9,0,0,7,0
123,4311844,https://www.google.com/patents/US4311844,"Octahydro-2H-pyrrolo[3,4,-g]quinolines",1/19/82,19-Jan-82,2,3,2,1,11,4
124,D262746,https://www.google.com/patents/USD262746,Animal feeder,1/19/82,19-Jan-82,1,0,0,3,4,0
125,4313896,https://www.google.com/patents/US4313896,Aryloxyphenylpropylamines,2/2/82,2-Feb-82,2,5,4,43,5,4
126,4314081,https://www.google.com/patents/US4314081,Arloxyphenylpropylamines,2/2/82,2-Feb-82,2,4,1,277,18,4
127,4315990,https://www.google.com/patents/US4315990,Fermentation system and probe detector holder,2/16/82,16-Feb-82,1,2,6,15,5,1
128,4316021,https://www.google.com/patents/US4316021,Substituted 1-sulfonylbenzimidazoles,2/16/82,16-Feb-82,2,2,0,3,14,0
129,4316842,https://www.google.com/patents/US4316842,Penicillin intermediates,2/23/82,23-Feb-82,1,0,3,3,8,1
130,4316955,https://www.google.com/patents/US4316955,Enzymatic deesterification of cephalosporin methyl esters,2/23/82,23-Feb-82,2,2,2,6,10,1
131,4316959,https://www.google.com/patents/US4316959,Process for production of antibiotic from streptomyces,2/23/82,23-Feb-82,2,1,2,3,7,1
132,4316988,https://www.google.com/patents/US4316988,N-Alkyldiphenylamines,2/23/82,23-Feb-82,3,6,2,9,2,6
133,4318866,https://www.google.com/patents/US4318866,Chlorination of 4-methoxybenzoyl chloride,3/9/82,9-Mar-82,2,1,3,1,8,1
134,4318911,https://www.google.com/patents/US4318911,"5,6-Diaryl-1,2,4-triazines as topical antithrombotic agents",3/9/82,9-Mar-82,1,5,2,4,7,5
135,4319028,https://www.google.com/patents/US4319028,7-(2-(Substituted benzoyl)amino)acetamido)cephalosporins,3/9/82,9-Mar-82,2,3,1,2,24,1
136,4319916,https://www.google.com/patents/US4319916,3-Acyl-5-phenyl-4(1H)-pyridinones and their use as herbicides,3/16/82,16-Mar-82,1,4,2,9,18,1
137,4320052,https://www.google.com/patents/US4320052,Derivatives of A-30912A nucleus,3/16/82,16-Mar-82,2,12,14,30,16,1
138,4320053,https://www.google.com/patents/US4320053,Derivatives of A-30912D nucleus,3/16/82,16-Mar-82,2,12,13,20,16,2
139,4320054,https://www.google.com/patents/US4320054,Derivatives of A-30912H nucleus,3/16/82,16-Mar-82,2,12,14,18,16,1
140,4320055,https://www.google.com/patents/US4320055,Process for penicillin epimerization,3/16/82,16-Mar-82,1,2,16,5,10,1
141,4320058,https://www.google.com/patents/US4320058,20'-Hydroxyvinblastine and related compounds,3/16/82,16-Mar-82,2,2,8,1,6,4
142,4321361,https://www.google.com/patents/US4321361,Demycinosyltylosin and process for its production,3/23/82,23-Mar-82,3,10,10,18,17,1
143,4321362,https://www.google.com/patents/US4321362,De(mycinosyloxy)tylosin and process for its production,3/23/82,23-Mar-82,3,10,10,11,17,2
144,4322338,https://www.google.com/patents/US4322338,Derivatives of A-30912B nucleus,3/30/82,30-Mar-82,2,12,13,18,16,1
145,4322339,https://www.google.com/patents/US4322339,Pharmacologically active peptides,3/30/82,30-Mar-82,2,3,3,14,18,1
146,4322340,https://www.google.com/patents/US4322340,Pharmacologically active peptides,3/30/82,30-Mar-82,2,3,3,16,22,1
147,4322342,https://www.google.com/patents/US4322342,Analgesic compounds,3/30/82,30-Mar-82,4,2,0,15,12,0
148,4322343,https://www.google.com/patents/US4322343,Pseudo-aglycone of actaplanin,3/30/82,30-Mar-82,1,3,0,31,24,6
149,4322351,https://www.google.com/patents/US4322351,"Antineoplastic 4'-formylamino and 4'-acetylamino VLB, and derivatives thereof",3/30/82,30-Mar-82,2,3,2,2,7,1
150,4322406,https://www.google.com/patents/US4322406,"Antibiotic A-4696 factors B1, B2, B3, C1a, C3 and E1",3/30/82,30-Mar-82,4,3,0,26,21,6
151,4322428,https://www.google.com/patents/US4322428,"2(4-Fluorophenyl)-4,5,-bis(4-methoxyphenyl)thiazole and method of use",3/30/82,30-Mar-82,2,7,6,4,13,1
152,4322429,https://www.google.com/patents/US4322429,Isoxazolylbenzamides as insecticides,3/30/82,30-Mar-82,2,1,1,20,23,1
153,4322430,https://www.google.com/patents/US4322430,"Amino-substituted 4,5,6,7-tetrahydro-1H (or 2H)-indazoles",3/30/82,30-Mar-82,2,1,0,0,4,5
154,4322497,https://www.google.com/patents/US4322497,Process for transducing Escherichia coli K12 “ˆ1776,3/30/82,30-Mar-82,1,1,2,3,6,1
155,4322540,https://www.google.com/patents/US4322540,"Substituted 4,5,6,7-tetrahydro-1H (or 2H)-indazoles",3/30/82,30-Mar-82,2,3,2,0,4,5
156,4323707,https://www.google.com/patents/US4323707,Antifertility compounds,4/6/82,6-Apr-82,2,17,5,28,29,0
157,4329356,https://www.google.com/patents/US4329356,Treatment of hypertension with fluoxetine and l-5-hydroxytryptophane,5/11/82,11-May-82,1,3,6,33,4,2
158,4329454,https://www.google.com/patents/US4329454,Cephalosporin compounds,5/11/82,11-May-82,1,3,0,1,6,1
159,4329472,https://www.google.com/patents/US4329472,Antibiotic A-33853 and the tetraacetyl derivative thereof,5/11/82,11-May-82,2,0,1,0,9,4
160,4331594,https://www.google.com/patents/US4331594,A-21978 Antibiotics and process for their production,5/25/82,25-May-82,2,0,1,38,18,2
161,4331652,https://www.google.com/patents/US4331652,Controlled release parasitic formulations and method,5/25/82,25-May-82,2,16,1,25,16,7
162,4331654,https://www.google.com/patents/US4331654,"Magnetically-localizable, biodegradable lipid microspheres",5/25/82,25-May-82,1,14,13,417,13,2
163,4331658,https://www.google.com/patents/US4331658,Method of treating swine dysentery with antibiotic A-32887,5/25/82,25-May-82,2,0,1,3,15,2
164,4333873,https://www.google.com/patents/US4333873,Pharmacologically active peptides,6/8/82,8-Jun-82,1,0,1,14,7,4
165,4333919,https://www.google.com/patents/US4333919,Growth promotant controlled release formulations and method of treatment,6/8/82,8-Jun-82,2,16,0,24,16,6
166,4333923,https://www.google.com/patents/US4333923,Method for improving the efficiency of ruminant feed utilization,6/8/82,8-Jun-82,2,4,4,12,13,5
167,4334019,https://www.google.com/patents/US4334019,Process for producing de(mycinosyloxy)tylosin,6/8/82,8-Jun-82,3,10,9,0,12,5
168,4334063,https://www.google.com/patents/US4334063,Cephalosporin vinyl halides,6/8/82,8-Jun-82,1,4,0,4,11,5
169,4334064,https://www.google.com/patents/US4334064,Cephalosporin vinyl halides,6/8/82,8-Jun-82,1,7,2,0,10,5
170,4334065,https://www.google.com/patents/US4334065,Cephalosporin intermediates,6/8/82,8-Jun-82,1,1,4,2,8,1
171,4334079,https://www.google.com/patents/US4334079,Synthesis of substituted benzyl esters,6/8/82,8-Jun-82,2,4,1,3,13,1
172,4335240,https://www.google.com/patents/US4335240,Process for cyclization,6/15/82,15-Jun-82,2,5,7,0,10,4
173,4336056,https://www.google.com/patents/US4336056,Herbicidal method for fallow land,6/22/82,22-Jun-82,1,5,2,0,4,1
174,4336191,https://www.google.com/patents/US4336191,Penicillin conversion by halogen electrophiles and anti-bacterials derived thereby,6/22/82,22-Jun-82,1,3,7,2,14,0
175,4336250,https://www.google.com/patents/US4336250,Lactation improvement method,6/22/82,22-Jun-82,1,1,3,14,12,4
176,4336253,https://www.google.com/patents/US4336253,Cephalosporin antibiotics,6/22/82,22-Jun-82,2,6,0,17,10,5
177,4336264,https://www.google.com/patents/US4336264,1-Benzoyl-3-(isoxazolyl or benzisoxazolyl)-ureas and insecticidal use thereof,6/22/82,22-Jun-82,1,8,5,13,23,1
178,4336269,https://www.google.com/patents/US4336269,Para-nitrophenylalkylamines,6/22/82,22-Jun-82,2,5,4,4,7,4
179,4336333,https://www.google.com/patents/US4336333,Process for preparing tunicamycin,6/22/82,22-Jun-82,3,2,4,3,14,6
180,4337341,https://www.google.com/patents/US4337341,4a-Aryl-octahydro-1H-2-pyrindines,6/29/82,29-Jun-82,1,5,1,31,14,6
181,4338118,https://www.google.com/patents/US4338118,Plant growth regulation,7/6/82,6-Jul-82,1,1,3,2,6,5
182,4338315,https://www.google.com/patents/US4338315,Antiviral method employing thiazinyl benzimidazole derivatives,7/6/82,6-Jul-82,3,2,0,9,7,5
183,4338321,https://www.google.com/patents/US4338321,Formulations of dihalobenzoyl-substituted-pyridinylurea insecticides,7/6/82,6-Jul-82,1,5,2,0,8,4
184,4338329,https://www.google.com/patents/US4338329,Antiviral method employing 1-sulfonylbenzimidazoles,7/6/82,6-Jul-82,3,5,0,7,12,5
185,4338436,https://www.google.com/patents/US4338436,7-[2-[(Substituted benzoyl)amino]acetamido]cephalosporins,7/6/82,6-Jul-82,2,4,4,4,12,0
186,4338439,https://www.google.com/patents/US4338439,7-[2-[(Substituted benzoyl]amino]acetamido]cephalosporins,7/6/82,6-Jul-82,2,1,0,2,12,0
187,4338449,https://www.google.com/patents/US4338449,Herbicidal thiadiazolines,7/6/82,6-Jul-82,2,0,4,24,10,5
188,4338452,https://www.google.com/patents/US4338452,1-and 2-(1-Alkyl-1H-tetrazol-5-yl-methyl)-1H-tetrazol-5-thiols and 1-cyanomethyl tetrazole-5-thiol,7/6/82,6-Jul-82,2,6,0,9,5,2
189,4341770,https://www.google.com/patents/US4341770,Method of controlling ureaplasma infections,7/27/82,27-Jul-82,2,7,11,6,13,6
190,4341771,https://www.google.com/patents/US4341771,Method of controlling Pasteurella infections,7/27/82,27-Jul-82,2,7,8,2,13,6
191,4342751,https://www.google.com/patents/US4342751,Majusculamide C,8/3/82,3-Aug-82,2,0,10,39,18,6
192,4342829,https://www.google.com/patents/US4342829,Process for preparing narasin,8/3/82,3-Aug-82,2,1,2,3,18,6
193,4345935,https://www.google.com/patents/US4345935,"2,4-Imidazolidinediones, compositions and herbicidal method",8/24/82,24-Aug-82,1,6,2,7,16,6
194,4345936,https://www.google.com/patents/US4345936,"Imidazoles, compositions and herbicidal method",8/24/82,24-Aug-82,2,6,1,11,31,6
195,4346076,https://www.google.com/patents/US4346076,Bis-tetrazoylmethyl substituted cephalosporin antibiotics,8/24/82,24-Aug-82,1,8,1,1,19,1
196,4346094,https://www.google.com/patents/US4346094,3-Aryl-5-isothiazolecarboxylic acids and related compounds used to lower uric acid levels,8/24/82,24-Aug-82,3,3,6,18,18,1
197,4346219,https://www.google.com/patents/US4346219,Process for preparing desacetoxycephalosporanic acid,8/24/82,24-Aug-82,1,5,1,1,8,4
198,4346225,https://www.google.com/patents/US4346225,Herbicidal 2-methylamino thiadiazolines,8/24/82,24-Aug-82,2,0,4,14,9,5
199,4351763,https://www.google.com/patents/US4351763,Pharmacologically active peptides,9/28/82,28-Sep-82,2,1,5,2,12,4
200,4354030,https://www.google.com/patents/US4354030,Isoxazolylimidazolidinone herbicides,10/12/82,12-Oct-82,3,3,2,9,10,5
201,4354971,https://www.google.com/patents/US4354971,Non-extractive penicillin V recovery process,10/19/82,19-Oct-82,2,4,0,4,7,4
202,4355029,https://www.google.com/patents/US4355029,Combination therapy for rheumatoid arthritis,10/19/82,19-Oct-82,1,0,0,16,6,5
